127.0.0.1 - - [27/May/2020:14:30:21 +0530] "GET / HTTP/1.1" 404 709
0:0:0:0:0:0:0:1 - - [27/May/2020:14:31:36 +0530] "OPTIONS /lmsspringrest/login HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [27/May/2020:14:31:40 +0530] "POST /lmsspringrest/login HTTP/1.1" 200 208
0:0:0:0:0:0:0:1 - - [27/May/2020:14:31:52 +0530] "GET /lmsspringrest/booksInfo HTTP/1.1" 200 832
0:0:0:0:0:0:0:1 - - [27/May/2020:14:32:48 +0530] "GET /lmsspringrest/booksInfo HTTP/1.1" 200 832
0:0:0:0:0:0:0:1 - - [27/May/2020:14:33:20 +0530] "GET /lmsspringrest/booksInfo HTTP/1.1" 200 832
0:0:0:0:0:0:0:1 - - [27/May/2020:14:33:34 +0530] "GET /lmsspringrest/booksInfo HTTP/1.1" 200 832
0:0:0:0:0:0:0:1 - - [27/May/2020:14:33:47 +0530] "GET /lmsspringrest/booksInfo HTTP/1.1" 200 832
0:0:0:0:0:0:0:1 - - [27/May/2020:14:34:54 +0530] "GET /lmsspringrest/booksInfo HTTP/1.1" 200 832
0:0:0:0:0:0:0:1 - - [27/May/2020:14:36:36 +0530] "GET /lmsspringrest/booksInfo HTTP/1.1" 200 832
0:0:0:0:0:0:0:1 - - [27/May/2020:14:36:51 +0530] "GET /lmsspringrest/booksInfo HTTP/1.1" 200 832
0:0:0:0:0:0:0:1 - - [27/May/2020:14:37:00 +0530] "GET /lmsspringrest/booksInfo HTTP/1.1" 200 832
0:0:0:0:0:0:0:1 - - [27/May/2020:14:37:22 +0530] "GET /lmsspringrest/showIssuedBooks HTTP/1.1" 200 120
0:0:0:0:0:0:0:1 - - [27/May/2020:14:37:44 +0530] "GET /lmsspringrest/showIssuedBooks HTTP/1.1" 200 120
0:0:0:0:0:0:0:1 - - [27/May/2020:14:37:50 +0530] "GET /lmsspringrest/booksInfo HTTP/1.1" 200 832
0:0:0:0:0:0:0:1 - - [27/May/2020:14:37:55 +0530] "GET /lmsspringrest/showUsers HTTP/1.1" 200 2051
0:0:0:0:0:0:0:1 - - [27/May/2020:14:38:13 +0530] "GET /lmsspringrest/booksInfo HTTP/1.1" 200 832
0:0:0:0:0:0:0:1 - - [27/May/2020:14:38:19 +0530] "GET /lmsspringrest/showRequests HTTP/1.1" 200 299
0:0:0:0:0:0:0:1 - - [27/May/2020:14:38:25 +0530] "GET /lmsspringrest/booksInfo HTTP/1.1" 200 832
0:0:0:0:0:0:0:1 - - [27/May/2020:15:10:34 +0530] "GET /lmsspringrest/booksInfo HTTP/1.1" 200 832
0:0:0:0:0:0:0:1 - - [27/May/2020:15:13:08 +0530] "GET /lmsspringrest/booksInfo HTTP/1.1" 200 832
0:0:0:0:0:0:0:1 - - [27/May/2020:15:13:42 +0530] "GET /lmsspringrest/booksInfo HTTP/1.1" 200 832
0:0:0:0:0:0:0:1 - - [27/May/2020:15:13:49 +0530] "GET /lmsspringrest/showRequests HTTP/1.1" 200 299
0:0:0:0:0:0:0:1 - - [27/May/2020:15:13:53 +0530] "GET /lmsspringrest/booksInfo HTTP/1.1" 200 832
0:0:0:0:0:0:0:1 - - [27/May/2020:20:02:34 +0530] "GET /lmsspringrest/booksInfo HTTP/1.1" 200 832
0:0:0:0:0:0:0:1 - - [27/May/2020:20:02:34 +0530] "GET /lmsspringrest/booksInfo HTTP/1.1" 200 832
0:0:0:0:0:0:0:1 - - [27/May/2020:20:04:40 +0530] "GET /lmsspringrest/booksInfo HTTP/1.1" 200 832
0:0:0:0:0:0:0:1 - - [27/May/2020:20:05:08 +0530] "GET /lmsspringrest/booksInfo HTTP/1.1" 200 832
0:0:0:0:0:0:0:1 - - [27/May/2020:20:05:26 +0530] "GET /lmsspringrest/booksInfo HTTP/1.1" 200 832
0:0:0:0:0:0:0:1 - - [27/May/2020:20:05:29 +0530] "GET /lmsspringrest/booksInfo HTTP/1.1" 200 832
0:0:0:0:0:0:0:1 - - [27/May/2020:20:09:52 +0530] "GET /lmsspringrest/booksInfo HTTP/1.1" 200 832
0:0:0:0:0:0:0:1 - - [27/May/2020:20:10:14 +0530] "GET /lmsspringrest/booksInfo HTTP/1.1" 200 832
0:0:0:0:0:0:0:1 - - [27/May/2020:20:10:26 +0530] "GET /lmsspringrest/booksInfo HTTP/1.1" 200 832
0:0:0:0:0:0:0:1 - - [27/May/2020:20:17:24 +0530] "GET /lmsspringrest/booksInfo HTTP/1.1" 200 832
