127.0.0.1 - - [30/May/2020:09:59:30 +0530] "GET / HTTP/1.1" 404 709
0:0:0:0:0:0:0:1 - - [30/May/2020:10:00:47 +0530] "OPTIONS /lmsspringrest/login HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [30/May/2020:10:00:49 +0530] "POST /lmsspringrest/login HTTP/1.1" 200 203
0:0:0:0:0:0:0:1 - - [30/May/2020:10:00:59 +0530] "GET /lmsspringrest/showIssuedBooks HTTP/1.1" 200 799
0:0:0:0:0:0:0:1 - - [30/May/2020:10:18:42 +0530] "GET /lmsspringrest/showRequests HTTP/1.1" 200 560
0:0:0:0:0:0:0:1 - - [30/May/2020:10:22:43 +0530] "GET /lmsspringrest/showIssuedBooks HTTP/1.1" 200 799
0:0:0:0:0:0:0:1 - - [30/May/2020:10:29:51 +0530] "GET /lmsspringrest/showRequests HTTP/1.1" 200 560
0:0:0:0:0:0:0:1 - - [30/May/2020:10:31:23 +0530] "GET /lmsspringrest/showRequests HTTP/1.1" 200 560
0:0:0:0:0:0:0:1 - - [30/May/2020:10:31:37 +0530] "GET /lmsspringrest/showIssuedBooks HTTP/1.1" 200 799
0:0:0:0:0:0:0:1 - - [30/May/2020:12:47:43 +0530] "GET /lmsspringrest/booksInfo HTTP/1.1" 200 981
0:0:0:0:0:0:0:1 - - [30/May/2020:13:03:27 +0530] "GET /lmsspringrest/booksInfo HTTP/1.1" 200 981
0:0:0:0:0:0:0:1 - - [30/May/2020:13:03:39 +0530] "GET /lmsspringrest/showRequests HTTP/1.1" 200 560
0:0:0:0:0:0:0:1 - - [30/May/2020:13:13:19 +0530] "GET /lmsspringrest/showRequests HTTP/1.1" 200 560
0:0:0:0:0:0:0:1 - - [30/May/2020:22:10:24 +0530] "GET /lmsspringrest/booksInfo HTTP/1.1" 200 981
0:0:0:0:0:0:0:1 - - [30/May/2020:22:12:13 +0530] "GET /lmsspringrest/booksInfo HTTP/1.1" 200 981
0:0:0:0:0:0:0:1 - - [30/May/2020:22:18:07 +0530] "GET /lmsspringrest/booksInfo HTTP/1.1" 200 981
0:0:0:0:0:0:0:1 - - [30/May/2020:22:36:02 +0530] "GET /lmsspringrest/booksInfo HTTP/1.1" 200 981
